rank,rank_last_week,weeks_on_list,title,author,publisher,isbn,description
1,0,1,FULL PACKAGE,Lauren Blakely,Lauren Blakely,A00B01MT5HMRV,A man shares a cramped apartment with his friend's fetching sister.
2,0,2,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,Dial,9780440337973,"After World War II, a journalist travels to the island of Guernsey to meet residents who resisted the Nazi occupation. Originally published in 2008."
3,4,12,THE WHISTLER,John Grisham,Doubleday,9780385541206,A whistleblower alerts a Florida investigator to judicial corruption involving the Mob and Indian casinos.
4,0,1,RING OF FIRE,Brad Taylor,Dutton,9781101984772,"Pike Logan, a member of a secret counterterrorist unit called the Taskforce, investigates a Saudi-backed Moroccan terrorist cell."
5,7,9,SMALL GREAT THINGS,Jodi Picoult,Ballantine,9780345544964,"A medical crisis entangles a black nurse, a white supremacist father and a white lawyer."
6,0,1,SHELTER FOR ADELINE,Susan Stoker,Stoker Aces Production,A00B01MF62CN8,A fireman must keep his overprotective nature in check while pursuing an epileptic prey to her suspiciously obsessive boss.
7,9,3,A MAN CALLED OVE,Fredrik Backman,Atria,9781476738031,"An angry old curmudgeon gets new neighbors, and things are about to change for all of them."
8,2,2,THE MISTRESS,Danielle Steel,Delacorte,9780425285350,The beautiful mistress of a Russian oligarch falls in love with an artist and yearns for freedom.
9,0,1,THE GUESTS ON SOUTH BATTERY,Karen White,Berkley,9780698193000,Spirits invade the life of a Charleston realtor.
10,0,8,NO MAN'S LAND,David Baldacci,Grand Central,9781455586493,"John Puller, a special agent with the Army, searches for the truth about his mother, who disappeared 30 years ago."
11,0,0,BELOW THE BELT,Stuart Woods,Putnam,9780399574184,The New York lawyer Stone Barrington faces danger when he finds himself in possession of a retired C.I.A. agent’s explosive memoir.
12,0,0,CROSS THE LINE,James Patterson,"Little, Brown",9780316407168,"Detective Alex Cross and his wife, Bree, team up to catch a killer causing chaos in Washington, D.C."
13,0,0,THE DRY,Jane Harper,Flatiron,9781250105615,
14,0,0,A DOG'S PURPOSE,W Bruce Cameron,Forge,9781429960274,A canine narrator undergoes a series of reincarnations.
15,0,0,THE SLEEPWALKER,Chris Bohjalian,Doubleday,9780385538923,The daughters of a Vermont woman who disappeared from her home in the middle of the night try to understand what happened.
